stop_id,stop_name,stop_lat,stop_lon,location_type,stop_code
202-01,Michałówek-Pętla,52.2033912,21.3030821,0,01
203-01,Sulejówek Batorego,52.2393137,21.2778710,0,01
203-02,Sulejówek Batorego,52.239156,21.2780272,0,02
204-01,Sulejówek Bogusławskiego,52.2444580,21.2730430,0,01
204-02,Sulejówek Bogusławskiego,52.2446429,21.2731399,0,02
205-01,Sulejówek Dzielna,52.2419118,21.2870186,0,01
205-02,Sulejówek Dzielna,52.2418953,21.2878362,0,02
206-01,Sulejówek Grabskiego,52.2452130,21.2792925,0,01
206-02,Sulejówek Grabskiego,52.2450974,21.2793489,0,02
207-01,Sulejówek Iwaszkiewicza,52.2419460,21.2719050,0,01
207-02,Sulejówek Iwaszkiewicza,52.2419890,21.2714780,0,02
208-01,Sulejówek Kolejowa,52.2425414,21.2914104,0,01
209-01,Sulejówek Kościuszki,52.2419031,21.2829551,0,01
209-02,Sulejówek Kościuszki,52.2421462,21.2818234,0,02
210-01,PKP Sulejówek,52.2471015,21.2753621,0,01
210-02,PKP Sulejówek,52.2473985,21.2755712,0,02
211-01,Sulejówek-Przejazd,52.2332569,21.2853278,0,01
211-02,Sulejówek-Przejazd,52.2332179,21.2855167,0,02
212-01,Sulejówek Starzyńskiego,52.2421801,21.2773781,0,01
212-02,Sulejówek Starzyńskiego,52.2421029,21.2773478,0,02
213-01,Sulejówek Szklarniowa,52.2342404,21.2785182,0,01
213-02,Sulejówek Szklarniowa,52.2338427,21.2790854,0,02
214-01,Zakręt Szkolna,52.2169129,21.2842247,0,01
214-02,Zakręt Szkolna,52.217875,21.2844212,0,02
215-02,Zakręt Ogrodnicza,52.2214516,21.2855093,0,02
215-04,Zakręt Ogrodnicza,52.22079,21.2846138,0,04
